round,id_dt_ib,iso,name_dt_round,names
cen1961,99900089,GJ,kutch,kutch
cen1961,99900090,GJ,mehsana,mehsana
cen1961,0015,HP,bilaspur,bilaspur
cen1961,0016,HP,chamba,"champa,chamba"
cen1961,0019,HP,kinnaur,kinnaur
cen1961,0022,HP,mandi,mandi
cen1961,99900096,HP,mahasu,mahasu
cen1961,99900099,HP,sirmur,sirmur
cen1961,0001,JK,anantnag,anantnag
cen1961,0003,JK,baramulla,"baramulla,baramula"
cen1961,0004,JK,doda,doda
cen1961,0005,JK,jammu,jammu
cen1961,0007,JK,kathua,kathua
cen1961,0010,JK,poonch,"punch,poonch"
cen1961,0013,JK,srinagar,srinagar
cen1961,0014,JK,udhampur,udhampur
cen1961,99900111,JK,ladakh,ladakh
cen1961,0529,KA,bidar,bidar
cen1961,0533,KA,chitradurga,chitradurga
cen1961,0539,KA,hassan,hassan
cen1961,0542,KA,kolar,kolar
cen1961,0544,KA,mandya,mandya
cen1961,0546,KA,raichur,raichur
cen1961,99900117,KA,bangalore,bangalore
cen1961,99900119,KA,belgaum,"belgaon,belgaum"
cen1961,99900120,KA,bellary,bellary
cen1961,99900121,KA,bijapur,bijapur
cen1961,99900123,KA,chikmagalur,chikmagalur
cen1961,99900125,KA,coorg,"coorg,goorgordodagu"
cen1961,99900128,KA,dharwar,"dharwad,dharwar"
cen1961,99900129,KA,gulbarga,gulbarga
cen1961,99900130,KA,mysore,mysore
cen1961,99900131,KA,northkanara,northkanara
cen1961,99900132,KA,shimoga,shimoga
cen1961,99900133,KA,southkanara,southkanara
cen1961,99900134,KA,tumkur,tumkur
cen1961,0555,KL,ernakulam,"ernakulam,ernakulamkottayam"
cen1961,0560,KL,kottayam,kottayam
cen1961,0561,KL,kozhikode,kozhikode
cen1961,99900136,KL,alleppey,alleppey
cen1961,99900137,KL,cannanore,"cannanore,cannanorekozhikode"
cen1961,99900138,KL,palghat,palghat
cen1961,99900140,KL,quilon,quilon
cen1961,99900141,KL,trichur,"richur,trichur"
cen1961,99900142,KL,trivandrum,trivandrum
cen1961,99900143,LD,laccadive,"laccadive,laccadiveminicoyamindiviislands"
cen1961,0467,MH,akola,akola
cen1961,0468,MH,amravati,amravati
cen1961,0469,MH,aurangabad,aurangabad
cen1961,0471,MH,bhandara,bhandara
cen1961,0472,MH,buldhana,buldhana
cen1961,0473,MH,chandrapur,"chandrapur,chanda"
cen1961,0478,MH,jalgaon,jalgaon
cen1961,0480,MH,kolhapur,kolhapur
cen1961,0484,MH,nagpur,nagpur
cen1961,0485,MH,nanded,nanded
cen1961,0488,MH,osmanabad,osmanabad
cen1961,0489,MH,parbhani,parbhani
cen1961,0492,MH,ratnagiri,ratnagiri
cen1961,0493,MH,sangli,sangli
