id_dt_ib,name_dt_ib,iso,from_year,to_year,is_current
0442,bharuch,GJ,1981,9999,1
0443,bhavnagar,GJ,1961,9999,1
0444,dang,GJ,2011,9999,1
0445,dohad,GJ,2001,9999,1
0446,gandhinagar,GJ,1971,9999,1
0447,jamnagar,GJ,1961,9999,1
0448,junagadh,GJ,1961,9999,1
0449,kachchh,GJ,1981,9999,1
0450,kheda,GJ,1971,9999,1
0451,mahesana,GJ,2001,9999,1
0452,narmada,GJ,2001,9999,1
0453,navsari,GJ,2001,9999,1
0454,panchmahals,GJ,1961,9999,1
0455,patan,GJ,2001,9999,1
0456,porbandar,GJ,2001,9999,1
0457,rajkot,GJ,1961,9999,1
0458,sabarkantha,GJ,1961,9999,1
0459,surat,GJ,1961,9999,1
0460,surendranagar,GJ,1961,9999,1
0461,vadodara,GJ,1981,9999,1
0462,valsad,GJ,1971,9999,1
0463,daman,DD,1991,9999,1
0464,diu,DD,1991,9999,1
0465,dadraandnagarhaveli,DH,2011,9999,1
0466,ahmednagar,MH,1991,9999,1
0467,akola,MH,1961,9999,1
0468,amravati,MH,1961,9999,1
0469,aurangabad,MH,1961,9999,1
0470,beed,MH,2011,9999,1
0471,bhandara,MH,1961,9999,1
0472,buldhana,MH,1961,9999,1
0473,chandrapur,MH,1961,9999,1
0474,dhule,MH,1991,9999,1
0475,gadchiroli,MH,1991,9999,1
0476,gondia,MH,2011,9999,1
0477,hingoli,MH,2001,9999,1
0478,jalgaon,MH,1951,9999,1
0479,jalna,MH,1991,9999,1
0480,kolhapur,MH,1951,9999,1
0481,latur,MH,1991,9999,1
0482,mumbai,MH,2001,9999,1
0483,mumbaisuburban,MH,2001,9999,1
0484,nagpur,MH,1961,9999,1
0485,nanded,MH,1961,9999,1
0486,nandurbar,MH,2001,9999,1
0487,nashik,MH,2001,9999,1
0488,osmanabad,MH,1961,9999,1
0489,parbhani,MH,1961,9999,1
0490,pune,MH,1991,9999,1
0491,raigad,MH,2011,9999,1
0492,ratnagiri,MH,1951,9999,1
0493,sangli,MH,1951,9999,1
0494,satara,MH,1961,9999,1
0495,sindhudurg,MH,1991,9999,1
0496,solapur,MH,1991,9999,1
0497,thane,MH,1991,9999,1
0498,wardha,MH,1961,9999,1
0499,washim,MH,2001,9999,1
0500,yavatmal,MH,1991,9999,1
0501,adilabad,TG,1951,9999,1
0502,ananthapuramu,AP,2011,9999,1
0503,chittoor,AP,1961,9999,1
0504,ysr,AP,2001,9999,1
0505,eastgodavari,AP,1961,9999,1
0506,guntur,AP,1961,9999,1
0507,hyderabad,TG,1951,9999,1
0508,karimnagar,TG,1951,9999,1
0509,khammam,TG,2011,9999,1
0510,krishna,AP,1961,9999,1
0511,kurnool,AP,1961,9999,1
0512,mahabubnagar,TG,2011,9999,1
0513,medak,TG,1951,9999,1
0514,nalgonda,TG,1951,9999,1
0515,sripottisriramulunellore,AP,2011,9999,1
0516,nizamabad,TG,1951,9999,1
0517,prakasam,AP,1981,9999,1
0518,rangareddy,TG,2011,9999,1
0519,srikakulam,AP,1961,9999,1
0520,visakhapatnam,AP,1961,9999,1
0521,vizianagaram,AP,1981,9999,1
0522,warangal,TG,1951,9999,1
0523,westgodavari,AP,1961,9999,1
0524,bagalkote,KA,2011,9999,1
0525,bengaluruurban,KA,2011,9999,1
0526,bengalururural,KA,2011,9999,1
0527,belagavi,KA,2011,9999,1
0528,ballari,KA,2011,9999,1
0529,bidar,KA,1961,9999,1
0530,vijayapura,KA,2011,9999,1
