year,dist,iso,names
1961,"ludhiana","PB","ludhiana"
1961,"mahendragarh","PB","mahendragarh"
1961,"patiala","PB","patiala"
1961,"rohtak","PB","rohtak"
1961,"sangrur","PB","sangrur"
1961,"simla","PB","simla"
1961,"ajmer","RJ","ajmer"
1961,"alwar","RJ","alwar"
1961,"banswara","RJ","banswara"
1961,"barmer","RJ","barmer"
1961,"bharatpur","RJ","bharatpur"
1961,"bhilwara","RJ","bhilwara,bhilwar"
1961,"bikaner","RJ","bikaner"
1961,"bundi","RJ","bundi"
1961,"chitorgarh","RJ","chittaurgarh,chitorgarh"
1961,"churu","RJ","churu"
1961,"dungarpur","RJ","dungarpur"
1961,"ganganagar","RJ","ganganagar"
1961,"jaipur","RJ","jaipur"
1961,"jaisalmer","RJ","jaisalmer"
1961,"jalor","RJ","jalor"
1961,"jhalawar","RJ","jhalawar"
1961,"jhunjhunu","RJ","jhunjhunun,jhunjhunu"
1961,"jodhpur","RJ","jodhpur"
1961,"kota","RJ","kota"
1961,"nagaur","RJ","nagaur"
1961,"pali","RJ","pali,pall"
1961,"sawaimadhopur","RJ","sawaimadhopur"
1961,"sikar","RJ","sikar"
1961,"sirohi","RJ","sirohi"
1961,"tonk","RJ","tonk"
1961,"udaipur","RJ","udaipur"
1961,"sikkim","SK","sikkim"
1961,"tripura","TR","tripura"
1961,"agra","UP","agra"
1961,"aligarh","UP","aligarh"
1961,"allahabad","UP","allahabad"
1961,"almora","UP","almora"
1961,"azamgarh","UP","azamgarh"
1961,"bahraich","UP","bahraich"
1961,"ballia","UP","ballia"
1961,"banda","UP","banda"
1961,"barabanki","UP","barabanki,banki"
1961,"bareilly","UP","bareilly"
1961,"basti","UP","basti"
1961,"bijnor","UP","bijnor"
1961,"budaun","UP","budaun"
1961,"bulandshahr","UP","bulandshahr"
1961,"chamoli","UP","chamoli"
1961,"dehradun","UP","dehradun"
1961,"deoria","UP","deoria"
1961,"etah","UP","etah"
1961,"etawah","UP","etawah"
1961,"faizabad","UP","faizabad,fijzabad"
1961,"farrukhabad","UP","farrukhabad"
1961,"fatehpur","UP","fatehpur"
1961,"garhwal","UP","garhwal"
1961,"ghazipur","UP","ghazipur"
1961,"gonda","UP","gonda"
1961,"gorakhpur","UP","gorakhpur"
1961,"hamirpur","UP","hamirpur"
1961,"hardoi","UP","hardoi"
1961,"jalaun","UP","jalaun"
1961,"jaunpur","UP","jaunpur"
1961,"jhansi","UP","jhansi"
1961,"kanpur","UP","kanpur"
1961,"kheri","UP","kheri,kherl"
1961,"lucknow","UP","lucknow"
1961,"mainpuri","UP","mainpuri"
1961,"mathura","UP","mathura"
1961,"meerut","UP","meerut"
1961,"mirzapur","UP","mirzapur"
1961,"moradabad","UP","moradabad"
1961,"muzaffarnagar","UP","muzaffarnagar"
1961,"nainital","UP","nainital"
1961,"pilibhit","UP","pilibhit"
1961,"pithoragarh","UP","pithoragarh"
1961,"pratapgarh","UP","pratapgarh"
1961,"raebareli","UP","raebareli"
1961,"rampur","UP","rampur"
1961,"saharanpur","UP","saharanpur"
1961,"shahjahanpur","UP","shahjahanpur"
1961,"sitapur","UP","sitapur"
1961,"sultanpur","UP","sultanpur"
1961,"tehrigarhwal","UP","tehrigarhwal"
1961,"unnao","UP","unnao"
1961,"uttarkashi","UP","uttarkashi"
1961,"varanasi","UP","varanasi"
1961,"bankura","WB","bankura"
1961,"birbhum","WB","birbhum"
1961,"burdwan","WB","burdwan"
1961,"calcutta","WB","calcutta"
1961,"coochbehar","WB","coochbehar,cooch"
1961,"darjeeling","WB","darjeeling"
1961,"hooghly","WB","hooghly"
1961,"howrah","WB","howrah"
1961,"jalpaiguri","WB","jalpaiguri"
1961,"malda","WB","malda"
1961,"midnapore","WB","midnapore"
1961,"murshidabad","WB","murshidabad"
1961,"nadia","WB","nadia"
1961,"purulia","WB","purulia"
1961,"twentyfourparganas","WB","twentyfourparganas,parganas,24parganas,24-paraganas,twetyfourparganas"
1961,"westdinajpur","WB","westdinajpur"
1971,"andamannicobarislands","AN","andamannicobarislands"
1971,"adilabad","AP","adilabad"
1971,"anantapur","AP","anantapur"
1971,"chittoor","AP","chittoor"
1971,"cuddapah","AP","cuddapah"
1971,"east godavari","AP","eastgodavari"
1971,"guntur","AP","guntur"
1971,"hyderabad","AP","hyderabad"
1971,"karimnagar","AP","karimnagar,manthani"
1971,"khammam","AP","khammam"
1971,"krishna","AP","krishna"
1971,"kurnool","AP","kurnool"
1971,"mahbubnagar","AP","mahbubnagar"
1971,"medak","AP","medak"
1971,"nalgonda","AP","nalgonda,bhongir"
1971,"nellore","AP","nellore,nellohe"
1971,"ongole","AP","ongole,ongoleprakasam"
1971,"nizamabad","AP","nizamabad"
1971,"srikakulam","AP","srikakulam"
1971,"visakhapatnam","AP","visakhapatnam"
1971,"warangal","AP","warangal"
1971,"west godavari","AP","westgodavari,unagatla"
1971,"cachar","AS","cachar"
1971,"darrang","AS","darrang"
1971,"goalpara","AS","goalpara"
1971,"kamrup","AS","kamrup"
1971,"lakhimpur","AS","lakhimpur,laihkhimipur"
1971,"nowgong","AS","nowgong"
1971,"sibsagar","AS","sibsagar"
1971,"mikir hills","AS","mikirhills,unitedmikirnorthcachar,unitedmikirnorthcacharhills,unitedmikirandnorthcacharhill"
1971,"north cachar hills","AS","northcacharhills,unitedmikirnorthcachar,unitedmikirnorthcacharhills,unitedmikirandnorthcacharhill"
1971,"bhagalpur","BR","bhagalpur"
1971,"champaran","BR","champaran"
1971,"darbhanga","BR","darbhanga"
1971,"dhanbad","BR","dhanbad"
1971,"gaya","BR","gaya"
1971,"hazaribag","BR","hazaribag,hazaribagh"
1971,"monghyr","BR","monghyar,monghyr,munger"
1971,"muzaffarpur","BR","muzaffarpur"
1971,"palamau","BR","palamau"
1971,"patna","BR","patna"
1971,"purnea","BR","purnia,purnea"
1971,"ranchi","BR","ranchi"
1971,"saharsa","BR","saharsa"
1971,"santalparganas","BR","santhalparganas,santalparganas"
1971,"saran","BR","saran"
